VehID,TimeStep,SpeedProfile
925,20.2,0.42076
925,20.25,0.507575
925,20.3,0.59439
925,20.35,0.679575
925,20.4,0.76476
925,20.45,0.837505
925,20.5,0.91025
925,20.55,0.966905
925,20.6,1.02356
925,20.65,1.068405
925,20.7,1.11325
925,20.75,1.155
925,20.8,1.19675
925,20.85,1.24567
925,20.9,1.29459
925,20.95,1.360635
925,21,1.42668
925,21.05,1.515635
925,21.1,1.60459
925,21.15,1.712725
925,21.2,1.82086
925,21.25,1.938595
925,21.3,2.05633
925,21.35,2.175795
925,21.4,2.29526
925,21.45,2.40735
925,21.5,2.51944
925,21.55,2.61172
925,21.6,2.704
925,21.65,2.764925
925,21.7,2.82585
925,21.75,2.84986
925,21.8,2.87387
925,21.85,2.869405
925,21.9,2.86494
925,21.95,2.847395
925,22,2.82985
925,22.05,2.80346
925,22.1,2.77707
925,22.15,2.73992
925,22.2,2.70277
925,22.25,2.659675
925,22.3,2.61658
925,22.35,2.58093
925,22.4,2.54528
925,22.45,2.534715
925,22.5,2.52415
925,22.55,2.55043
925,22.6,2.57671
925,22.65,2.63683
925,22.7,2.69695
925,22.75,2.773085
925,22.8,2.84922
925,22.85,2.917585
925,22.9,2.98595
925,22.95,3.028155
925,23,3.07036
925,23.05,3.08176
925,23.1,3.09316
925,23.15,3.083815
925,23.2,3.07447
925,23.25,3.06069
925,23.3,3.04691
925,23.35,3.040025
925,23.4,3.03314
925,23.45,3.0351
925,23.5,3.03706
925,23.55,3.044265
925,23.6,3.05147
925,23.65,3.060765
925,23.7,3.07006
925,23.75,3.081575
925,23.8,3.09309
925,23.85,3.10994
925,23.9,3.12679
925,23.95,3.154105
925,24,3.18142
925,24.05,3.225655
925,24.1,3.26989
925,24.15,3.337125
925,24.2,3.40436
925,24.25,3.496625
925,24.3,3.58889
925,24.35,3.702265
925,24.4,3.81564
925,24.45,3.943015
925,24.5,4.07039
925,24.55,4.20456
925,24.6,4.33873
925,24.65,4.4731
925,24.7,4.60747
925,24.75,4.73589
925,24.8,4.86431
925,24.85,4.98097
925,24.9,5.09763
925,24.95,5.19709
925,25,5.29655
925,25.05,5.374045
925,25.1,5.45154
925,25.15,5.50367
925,25.2,5.5558
925,25.25,5.581945
925,25.3,5.60809
925,25.35,5.61317
